final_theme,initial_code,occurrences,hierarchy_path
Functional Fit and Wearability,True-to-size fit,24,"True-to-size fit -> Fit, sizing, and body-proportion compatibility -> Fit, Silhouette, Coverage, and Proportion -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Runs large,12,"Runs large -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Versatile styling options,11,"Versatile styling options -> Versatility and Occasion Suitability -> Versatility, Styling, Layering, and Occasion Suitability -> Versatility, Coordination, Occasion Suitability, and Functionality -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Runs slightly large,9,"Runs slightly large -> Fit, sizing, and garment proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Soft fabric,9,"Soft fabric -> Comfort, softness, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Flattering fit,8,"Flattering fit -> Fit, sizing, and garment proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Comfortable wear,7,"Comfortable wear -> Comfort, Feel, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Lightweight fabric,6,"Lightweight fabric -> Fabric comfort, warmth, and wearability -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Returned due to poor fit,6,"Returned due to poor fit -> Fit, sizing, and silhouette -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Runs small,6,"Runs small -> Fit, Sizing, and Proportion -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Fits true to size,5,"Fits true to size -> Fit, Sizing, and Proportion -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Good fit,5,"Good fit -> Fit, sizing, and silhouette -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,High perceived quality,5,"High perceived quality -> Fabric comfort, warmth, and wearability -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Returned due to fit,5,"Returned due to fit -> Fit, sizing, and proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Comfortable fit,4,"Comfortable fit -> Fit, sizing, and body-shape compatibility -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Oversized fit,4,"Oversized fit -> Fit, sizing, and garment proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Runs larger than expected,4,"Runs larger than expected -> Fit, sizing, and garment proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Runs significantly large,4,"Runs significantly large -> Fit, Sizing, and Body Shape -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Runs smaller than expected,4,"Runs smaller than expected -> Fit, sizing, and garment proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,True to size,4,"True to size -> Flattering fit, sizing accuracy, and proportion -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Accurate sizing,3,"Accurate sizing -> Fit, sizing, and garment proportions -> Fit, Sizing, Proportion, and Body Compatibility -> Fit, Sizing, Silhouette, Coverage, and Body Compatibility -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Comfortable casual wear,3,"Comfortable casual wear -> Comfort, fabric, and wearability -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Comfortable stretch,3,"Comfortable stretch -> Comfort, Feel, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Lightweight and comfortable,3,"Lightweight and comfortable -> Comfort and everyday wear experience -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
Functional Fit and Wearability,Lightweight for hot weather,3,"Lightweight for hot weather -> Comfort, Fabric, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Fabric, Material Feel, Comfort, and Wearability -> Functionality, Fit, and Wearability -> Functional Fit and Wearability"
